id,name,date,month,sex,party,topcategory,link
p16,post16,05_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115152111914572913
jp,Jerome Powell,,,2,2,,
,,,,,,,
p17,post17,05_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115153232183118149
goog,Google,,,,,,
appl,Apple,,,,,,
amtc,American Tech Companies,,,,,,
atp,American Taxpayers,,,,,,
tan,Trump Administration,,,,,,
euro,Europe,,,,,,
,,,,,,,
p18,post18,05_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115153378284802465
euroun,European Union,,,,,,
ac,American Companies,,,,,,
,,,,,,,
p19,post19,05_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115153443118480614
demo,Democrats,,,,,,
,,,,,,,
p20,post20,05_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115154159518653872
ah,Ashley Hinson,,,1,2,,
uss,United States Senate,,,,,,
iw,Iowa,,,,,,
,,,,,,,
p21,post21,07_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115164113502668318
count,Countries,,,,,,
poli,Politicians,,,,,,
windt,Wind turbines,,,,,,
pop,Polpulations,,,,,,
,,,,,,,
p22,post22,07_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115164422928262033
israe,Israelis,,,,,,
hama,Hamas,,,,,,
,,,,,,,
p23,post23,07_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115165715028507857
hy,Hyundai,,,,,,
fc,Foreign Companies,,,,,,
amw,American Workers,,,,,,
,,,,,,,
p24,post24,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115168717159863645
jb,Joe Biden,,,2,1,,
pe,2020 Presidential Election,,,,,,
,,,,,,,
p25,post25,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115168758828419703
th,Tom Hanks,,,2,3,,
wp,West Point,,,,,,
aaw,Academy Awards,,,,,,
oas,other Award Shows,,,,,,
,,,,,,,
p26,post26,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115168778764944128
,,,,,,,
p27,post27,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115168933967621443
illi,Illinois,,,,,,
crim,criminals,,,,,,
fg,federal government,,,,,,
,,,,,,,
p28,post28,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115169254084774448
mar,Mary,,,,,,
,,,,,,,
p29,post29,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115169727944499112
,,,,,,,
p30,post30,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115169843962994945
gc,Gianno Caldwell,,,2,,,
ccw,Christian Caldwell,,,2,,,
,,,,,,,
p31,post31,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115170494005487289
ur,Ukrainian refugee,,,,,,
rc,Roy Cooper,,,2,1,,
mw,Michael Whatley,,,2,2,,
perp,Perpetrator,,,,,,
mainme,Mainstream Media,,,,,,
norc,North Carolina,,,,,,
,,,,,,,
p32,post32,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115171248213293804
nb,Nick Bosa,,,2,3,,
sfers,San Francisco 49ers,,,,,,
ssh,Seattle Seahawks,,,,,,
,,,,,,,
p33,post33,08_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115171801902619547
,,,,,,,
p34,post34,09_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115176193823019593
qat,Qatar,,,,,,
bn,Benjamin Netanyahu,,,,,,
sw,Steve Witkoff,,,,,,
mr,Marco Rubio,,,,,,
eoq,Emir of Qatar,,,,,,
pmoc,Prime Minister of Qatar,,,,,,
,,,,,,,
p35,post35,09_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115176212194047212
et,Elizabeth Tsurkov  ,,,1,3,,
soet,Sister of Elizabeth Tsurkov,,,1,3,,
kh,Kata’ib Hezbollah,,,,,,
aeii,American Embassy in Iraq,,,,,,
,,,,,,,
p36,post36,09_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115176472700835865
nm,Narendra Modi,,,2,3,,
,,,,,,,
p37,post37,09_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115176746512388246
mis,Missouri,,,,,,
missl,Missouri State Legislator,,,,,,
mse,Missouri Senate,,,,,,
,,,,,,,
p38,post38,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115180060678818221
,,,,,,,
p39,post39,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115180154793561569
,,,,,,,
p40,post40,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115180631135047280
pola,Poland,,,,,,
,,,,,,,
,,,,,,,
p41,post41,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115181549363103818
ck,Charlie Kirk,,,2,2,,
,,,,,,,
p42,post42,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115181934991844419
mt,Melania Trump,,,1,3,,
ek,Erica Kirk,,,1,3,,
yotus,Youth of the United States,,,,,,
,,,,,,,
p43,post43,10_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115182019266546196
,,,,,,,
p44,post44,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115183827069786801
mh,Mark Harris,,,2,2,,
fn,Fox News,,,,,,
,,,,,,,
p45,post45,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115186203931436783
,,,,,,,
p46,post46,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115186228312744900
amer,Americans,,,,,,
vir,Virginia,,,,,,
ny,New York,,,,,,
penn,Pennsylvania,,,,,,
,,,,,,,
p47,post47,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115186230726893391
pent,Pentagon,,,,,,
cowor,construction workers,,,,,,
potriv,Potomac River,,,,,,
,,,,,,,
p48,post48,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115186868794986559
rm,Roger Marshall,,,2,2,,
usm,U.S. Military,,,,,,
vet,Veterans,,,,,,
kans,Kansas,,,,,,
afarm,American Farmers,,,,,,
agri,American Agriculture,,,,,,
,,,,,,,
p49,post49,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115186969669045268
tb, Ted Budd,,,2,2,,
ncr,North Carolina Republicans,,,,,,
js,Josh Stein,,,2,1,,
rc,Roy Cooper,,,2,1,,
,,,,,,,
p50,post50,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115187205784578767
kans,Kansas ,,,,,,
rm,Roger Marshall,,,2,2,,
jm,Jerry Moran,,,2,2,,
rmoc,Republican Members of Congress,,,,,,
rsl,Republican State Legislature,,,,,,
,,,,,,,
p51,post51,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115187206020244589
jt,John Thune,,,2,2,,
swot,Sisseton-Wahpeton Oyate Tribe,,,,,,
sd,South Dakota,,,,,,
posd,people of South Dakota,,,,,,
,,,,,,,
p52,post52,11_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115187206743663378
rj,Ron Johnson,,,2,2,,
wisc,Wisconsin,,,,,,
pow,people of Wisconsin,,,,,,
,,,,,,,
p53,post53,12_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115193110827591178
col,Cindy O'Laughlin,,,1,2,,
tl,Tony Luetkemeyer,,,2,2,,
cp,Chad Perkins,,,2,2,,
dd,Dirk Deaton,,,2,2,,
missrl,Missouri Republican Legislators,,,,,,
,,,,,,,
p54,post54,12_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115196697263809382
nat,NATO,,,,,,
jb,Joe Biden,,,2,1,,
vz,Volodymyr Zelenskyy,,,2,3,,
,,,,,,,
p55,post55,13_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115198530237918666
ccurl,Cian Curley,,,2,3,,
tngc,Trump National Golf Club,,,,,,
wc,Westchester,,,,,,
,,,,,,,
p56,post56,13_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115199460946450022
memphi,Memphis,,,,,,
cc,Chicago,,,,,,
cla,City of Los Angeles,,,,,,
cw,"City of Washington, D.C.",,,,,,
fbi,FBI,,,,,,
fg,Federal Government,,,,,,
,,,,,,,
p57,post57,14_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115203966487358380
jc,Joe Concha,,,2,3,,
medi,Media ,,,,,,
trum,Trump Movement,,,,,,
,,,,,,,
p58,post58,14_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115204049358078594
fc,Foreign Companies,,,,,,
us,United States,,,,,,
,,,,,,,
p59,post59,14_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115205301127455058
gtm,George “Tyrus” Murdoch,,,2,3,,
gg,Greg Gutfeld,,,2,3,,
lnt,Late Night Television,,,,,,
rlef,Radical Left,,,,,,
dth,Deranged Trump Haters,,,,,,
,,,,,,,
p60,post60,14_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115205520510774944
cn,Chandra Nagamallaiah,,,2,3,,
dal,Dallas,,,,,,
tex,Texas,,,,,,
kn,Kristi Noem,,,1,2,,
pb,Pam Bondi,,,1,2,,
th,Tom Homan,,,2,,,
,,,,,,,
,,,,,,,
p61,post61,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115206570863756188
cw,"City of Washington, D.C.",,,,,,
fg,Federal Government,,,,,,
rlde,Radical Left Democrats,,,,,,
ice,ICE,,,,,,
mpd,Metropolitan Police Department,,,,,,
,,,,,,,
,,,,,,,
p62,post62,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115207991871277413
kh,Kathy Hochul ,,,1,1,,
zm,Zohran Mamdani,,,2,1,,
cny,City of New York,,,,,,
ny,New York,,,,,,
wash,Washington,,,,,,
,,,,,,,
p63,post63,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115208143657180249
nfl,NFL,,,,,,
cfl,College Football,,,,,,
,,,,,,,
p64,post64,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115208219886830624
ussaec,U.S. Securities and Exchange Commission,,,,,,
cac,Companies and Corporations,,,,,,
chi,China,,,,,,
,,,,,,,
p65,post65,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115208260926006345
us,United States  ,,,,,,
chi,China,,,,,,
xi,xi,,,,,,
euro,Europe,,,,,,
,,,,,,,
p66,post66,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115209308362990527
etru,Eric Trump,,,,,,
,,,,,,,
p67,post67,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115209549037822166
rmoc,Republican Members of Congress,,,,,,
jt,John Thune,,,2,2,,
mj,Mike Johnson,,,2,2,,
cs,Chuck Schumer,,,2,1,,
hor,House of Representatives,,,,,,
demo,Democrats,,,,,,
rep,Republicans,,,,,,
,,,,,,,
p68,post68,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115210075167747572
umf,U.S. Military Forces,,,,,,
usc,United States Southern Command,,,,,,
dtc,Drug Trafficking Cartels,,,,,,
narco,Narcoterrorists,,,,,,
vene,Venezuela,,,,,,
us,United State ,,,,,,
,,,,,,,
p69,post69,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115210251262068973
hama,Hamas ,,,,,,
isra,Israel,,,,,,
host,hostages,,,,,,
,,,,,,,
p70,post70,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115210542156462323
bl,Bill Lee,,,2,2,,
memp,Memphis,,,,,,
mstf,Memphis Safe Task Force,,,,,,
,,,,,,,
p71,post71,15_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115211918198289404
tnyt,The New York Times,,,,,,
kh,1,,,1,1,,
gs,George Slopadopoulos,,,2,3,,
abc,ABC,,,,,,
dis,Disney,,,,,,
minu,60 Minutes,,,,,,
cbs,CBS,,,,,,
para,Paramount,,,,,,
maga,MAGA,,,,,,
rlde,Radical Left Democrats,,,,,,
,,,,,,,
p72,post72,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115215261916717696
rep,Republicans,,,,,,
,,,,,,,
p73,post73,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115215278610415981
nm,Narendra Modi,,,2,3,,
russi,Russia,,,,,,
ukra,Ukraine,,,,,,
,,,,,,,
p74,post74,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115215419860494912
kba,Karen Bass,,,1,1,,
lz,Lee Zeldin,,,2,2,,
epa,Environmental Protection Agency,,,,,,
jlin,John Lindsay,,,2,3,,
ppa,Pacific Palisades,,,,,,
ccit,California Citizens,,,,,,
,,,,,,,
,,,,,,,
p75,post75,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115215531079925851
ial,Ilham Aliyev,,,2,,,
npa,Nikol Pashinyan,,,2,,,
us,United States,,,,,,
aze,Azerbaijan,,,,,,
arme,Armenia,,,,,,
,,,,,,,
p76,post76,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115215588649960500
fw,Fani Willis,,,1,1,,
nwa,Nathan Wade,,,2,3,,
gsc,Georgia Supreme Court,,,,,,
bida,Biden Administration,,,,,,
jsmi,Jack Smith,,,2,3,,
demo,Democrats,,,,,,
gamp,Great American Patriots,,,,,,
ajs,American Justice System,,,,,,
tog,Taxpayers of Georgia,,,,,,
,,,,,,,
p77,post77,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115216434940272027
tnyt,The New York Times,,,,,,
raleme,Radical Left Media,,,,,,
flori,Florida,,,,,,
us,United States,,,,,,
,,,,,,,
p78,post78,16_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115217256645822887
tpusa,Turning Point USA,,,,,,
ck,Charlie Kirk,,,2,,,
jsmi,Jack Smith,,,2,3,,
bida,Biden Administration,,,,,,
doj,Department of Justice,,,,,,
kh,Kamala Harris,,,1,1,,
us,United States,,,,,,
judg,Judge,,,,,,
,,,,,,,
,,,,,,,
p79,post79,17_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115222372625104790
jkim,Jimmy Kimmel,,,2,3,,
abc,ABC,,,,,,
scol,Stephen Colbert,,,2,3,,
semey,Seth Meyers,,,2,3,,
nbc,NBC,,,,,,
us,United States,,,,,,
,,,,,,,
p80,post80,17_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115222459539841970
anti,ANTIFA,,,,,,
gamp,Great American Patriots,,,,,,
,,,,,,,
p81,post81,18_09_25,sep25,,,,
hrepu,House Republicans,,,,,,
cs,Chuck Schumer,,,2,1,,
demo,Democrats,,,,,,
us,United States,,,,,,
,,,,,,,
p82,post82,18_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115227391845966364
jkim,Jimmy Kimmel,,,2,,,
jkw,Kimmel’s wife,,,1,,,
jkag,Kimmel’s agent,,,2,,,
aa,Academy Awards,,,,,,
,,,,,,,
p83,post83,18_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115227570336805813
chill,Chicago Illegals,,,,,,
us,United States,,,,,,
,,,,,,,
p84,post84,18_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115227590551904968
ilom,Ilhan Omar,,,1,1,,
soma,Somalia,,,,,,
peop,people,,,,,,
,,,,,,,
p85,post85,18_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115227870570776224
ilom,Ilhan Omar,,,1,1,,
soma,Somalia,,,,,,
us,United States,,,,,,
,,,,,,,
p86,post86,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115231649861246548
xi,Xi Jinping,,,2,3,,
russi,Russia,,,,,,
ukra,Ukraine,,,,,,
soukor,South Korea,,,,,,
chi,China,,,,,,
us,United States,,,,,,
tito,TikTok,,,,,,
apec,Asia-Pacific Economic Cooperation,,,,,,
,,,,,,,
p87,post87,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115232256964155055
rte,Recep Tayyip Erdoğan,,,2,3,,
boe,Boeing F-16,,,,,,
boei,Boeing F-35,,,,,,
whiho,White House,,,,,,
tur,Turkey,,,,,,
us,United States,,,,,,
,,,,,,,
p88,post88,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115233272162019294
amerp,American People,,,,,,
atp,American Taxpayers,,,,,,
illali,Illegal Aliens,,,,,,
corp,Corporations,,,,,,
ttgc,The Trump Gold Card,,,,,,
,,,,,,,
p89,post89,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115233273741566911
hrepu,House Republicans,,,,,,
hdemo,House Democrats,,,,,,
serep,Senate Republicans,,,,,,
jfe,John Fetterman,,,2,1,,
demo,Democrats,,,,,,
ck,Charlie Kirk,,,,,,
us,United States,,,,,,
dc,D.C.,,,,,,
,,,,,,,
p90,post90,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115233555445134712
phe,Pete Hegseth,,,2,2,,
usc,U.S. Southern Command,,,,,,
dto,Designated Terrorist Organization,,,,,,
umf,U.S. Military Forces,,,,,,
amer,Americans,,,,,,
,,,,,,,
p91,post91,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115233821158063044
rep,Republicans,,,,,,
us,United States,,,,,,
,,,,,,,
p92,post92,19_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115233841743981161
dlet,David Letterman,,,2,3,,
us,United States,,,,,,
,,,,,,,
p93,post93,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115234681538876098
ersie,Erik Siebert,,,2,2,,
mawar,Mark Warner,,,2,1,,
tkai,Tim Kaine,,,2,1,,
rep,Republicans,,,,,,
,,,,,,,
,,,,,,,
p94,post94,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115237675581682288
vene,Venezuela,,,,,,
us,United States,,,,,,
mhi,Mental Health Institutions ,,,,,,
pr,Prisoners,,,,,,
,,,,,,,
p95,post95,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115238637490866159
np,Nicole Parker,,,1,3,,
fn,Fox News,,,,,,
,,,,,,,
p96,post96,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115238745589536576
afg,Afghanistan,,,,,,
baa,Bagram Airbase,,,,,,
us,United States,,,,,,
,,,,,,,
p97,post97,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115239012437859070
cw,"Washington, D.C.",,,,,,
,,,,,,,
p98,post98,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115239306164275142
pb,Pam Bondi,,,1,2,,
lhal,Lindsey Halligan,,,1,,,
ersie,Erik Siebert,,,2,2,,
,,,,,,,
p99,post99,20_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115239776714791650
lhal,Lindsey Halligan,,,1,,,
pb,Pam Bondi,,,1,2,,
tobla,Todd Blanche,,,2,2,,
jb,Joe Biden,,,2,1,,
demo,Democrats,,,,,,
whiho,White House,,,,,,
marla,Mar-a-Lago,,,,,,
lawfirm,Largest Law Firm in Florida,,,2,2,,
ersie,Erik Siebert,,,,,,
,,,,,,,
p100,post100,22_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115248712390172467
vmil,Venezuelan Militia,,,,,,
,,,,,,,
p101,post101,22_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115249076293700355
kjkt,Kassym-Jomart Kemeluly Tokayev,,,2,3,,
kaz,Kazakhstan,,,,,,
usri,U.S. Rail Industry,,,,,,
faen,Fake Environmentalists,,,,,,
,,,,,,,
p102,post102,22_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115250311291343080
mir,Shavkat Mirziyoyev,,,2,3,,
uzb,Uzbekistan,,,,,,
uza,Uzbekistan Airways,,,,,,
boein,Boeing,,,,,,
amer,Americans,,,,,,
,,,,,,,
p103,post103,23_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115253901757845391
demopa,Democrat Party,,,,,,
demo,Democrats,,,,,,
rep,Republicans,,,,,,
gov,Government of the United States,,,,,,
amerci,American Citizens,,,,,,
atp,American Taxpayers,,,,,,
illali,Illegal Aliens,,,,,,
,,,,,,,
p104,post104,23_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115254363337739989
una,United Nations,,,,,,
,,,,,,,
p105,post105,23_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115254544745193117
mil,Javier Milei,,,2,3,,
arg,Argentina,,,,,,
jb,Joe Biden,,,2,1,,
,,,,,,,
p106,post106,23_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115255115250137156
pb,Pam Bondi,,,1,2,,
tobla,Todd Blanche,,,2,2,,
doj,Department of Justice,,,,,,
judg,Judge,,,,,,
jur,Jury,,,,,,
sser,Secret Service,,,,,,
fdle,Florida Department of Law Enforcement,,,,,,
sher,Sheriff’s Office,,,,,,
att,Assassin,,,,,,
amer,Americans,,,,,,
,,,,,,,
p107,post107,23_09_25,sep25,,,,https://truthsocial.com/@realDonaldTrump/posts/115255130298104593
